date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:51	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f74c501-247b%22	https://missing11.com/robots.txt		(from )
09:59:53	3237/3237	---M-Z	200	added ('OK')	text/html	etag:W/%226255509f-ca5%22	https://missing11.com/	C:/My%20Web%20Sites/Prueba/missing11.com/index.html	(from )
09:59:54	7688/7688	---M--	200	added ('OK')	image/png	etag:%226255509f-1e08%22	https://missing11.com/favicon.png	C:/My%20Web%20Sites/Prueba/missing11.com/favicon.png	(from https://missing11.com/)
09:59:54	7216/7216	---M--	200	added ('OK')	image/png	etag:%226255509f-1c30%22	https://missing11.com/icon.png	C:/My%20Web%20Sites/Prueba/missing11.com/icon.png	(from https://missing11.com/)
09:59:54	272/272	---M-Z	200	added ('OK')	application/json	etag:W/%226255509f-110%22	https://missing11.com/manifest.json	C:/My%20Web%20Sites/Prueba/missing11.com/manifest.json	(from https://missing11.com/)
09:59:55	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Apr%202022%2012:59:55%20GMT	https://www.missing11.com/social-icon.png?v=1	C:/My%20Web%20Sites/Prueba/www.missing11.com/social-icon.33860.delayed	(from https://missing11.com/)
09:59:55	7288/7288	---M--	200	added ('OK')	image/png	etag:%226255509f-1c78%22	https://missing11.com/social-icon.png?v=1	C:/My%20Web%20Sites/Prueba/missing11.com/social-icon3860.png	(from https://missing11.com/)
09:59:57	7016/7016	---M-Z	200	added ('OK')	text/css	etag:W/%226255509f-1b68%22	https://missing11.com/static/css/main.9ac275bc.css	C:/My%20Web%20Sites/Prueba/missing11.com/static/css/main.9ac275bc.css	(from https://missing11.com/)
10:00:04	212441/212441	---M-Z	200	added ('OK')	application/javascript	etag:W/%226255509f-33dd9%22	https://missing11.com/static/js/main.50761fa4.js	C:/My%20Web%20Sites/Prueba/missing11.com/static/js/main.50761fa4.js	(from https://missing11.com/)
10:00:06	434859/434859	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262544409-6a2ab%22	http://api.adinplay.com/libs/aiptag/pub/FTF/missing11.com/tag.min.js	C:/My%20Web%20Sites/Prueba/api.adinplay.com/libs/aiptag/pub/FTF/missing11.com/tag.min.js	(from https://missing11.com/)
10:00:06	86723/86723	---MC-	200	added ('OK')	application/javascript	date:Tue,%2012%20Apr%202022%2012:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-5RZWT5M	C:/My%20Web%20Sites/Prueba/www.googletagmanager.com/gtm67d4.js	(from https://missing11.com/)
10:00:06	8627/8627	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226255509f-21b3%22	https://missing11.com/static/media/Pitch.c9cbb9bdbb6063bc2720.svg	C:/My%20Web%20Sites/Prueba/missing11.com/static/media/Pitch.c9cbb9bdbb6063bc2720.svg	(from https://missing11.com/static/css/main.9ac275bc.css)
